character	group	dimension	composite_mean	min_scorer_value	max_scorer_value	range	sonnet_4_6	gemini_3_flash	grok_4_20
Cillian Frost	HEXACO	HEXACO_Honesty_Humility	3.833	3.5	4.2	0.7	3.8	3.5	4.2
Cillian Frost	HEXACO	HEXACO_Emotionality	2.667	2.2	3.0	0.8	2.2	3.0	2.8
Cillian Frost	HEXACO	HEXACO_Extraversion	2.167	2.0	2.5	0.5	2.0	2.0	2.5
Cillian Frost	HEXACO	HEXACO_Agreeableness	3.333	3.0	3.8	0.8	3.2	3.0	3.8
Cillian Frost	HEXACO	HEXACO_Conscientiousness	4.733	4.7	4.8	0.1	4.7	4.8	4.7
Cillian Frost	HEXACO	HEXACO_Openness	2.633	2.5	2.9	0.4	2.5	2.5	2.9
Cillian Frost	Beyond HEXACO	Sentimentality	3.133	2.4	3.5	1.1	2.4	3.5	3.5
Cillian Frost	Beyond HEXACO	Social_Anxiety	2.933	2.8	3.0	0.2	2.8	3.0	3.0
Cillian Frost	Beyond HEXACO	Trust_Benevolence	3.233	3.0	3.7	0.7	3.0	3.0	3.7
Cillian Frost	Beyond HEXACO	Affective_Responsiveness	2.833	2.3	3.2	0.9	2.3	3.0	3.2
Cillian Frost	Beyond HEXACO	SVO_Prosocial_Orientation	3.367	3.0	3.6	0.6	3.0	3.5	3.6
Haruki Minamoto	HEXACO	HEXACO_Honesty_Humility	4.067	3.5	4.5	1.0	4.2	3.5	4.5
Haruki Minamoto	HEXACO	HEXACO_Emotionality	3.133	3.0	3.2	0.2	3.2	3.2	3.0
Haruki Minamoto	HEXACO	HEXACO_Extraversion	3.167	3.0	3.5	0.5	3.0	3.0	3.5
Haruki Minamoto	HEXACO	HEXACO_Agreeableness	3.700	3.5	4.0	0.5	3.6	3.5	4.0
Haruki Minamoto	HEXACO	HEXACO_Conscientiousness	4.833	4.7	5.0	0.3	4.7	4.8	5.0
Haruki Minamoto	HEXACO	HEXACO_Openness	3.600	3.5	3.8	0.3	3.8	3.5	3.5
Haruki Minamoto	Beyond HEXACO	Sentimentality	3.933	3.8	4.0	0.2	3.8	4.0	4.0
Haruki Minamoto	Beyond HEXACO	Social_Anxiety	2.167	2.0	2.5	0.5	2.0	2.5	2.0
Haruki Minamoto	Beyond HEXACO	Trust_Benevolence	3.667	3.5	4.0	0.5	3.5	3.5	4.0
Haruki Minamoto	Beyond HEXACO	Affective_Responsiveness	3.733	3.4	4.0	0.6	3.4	3.8	4.0
Haruki Minamoto	Beyond HEXACO	SVO_Prosocial_Orientation	4.200	3.9	4.5	0.6	3.9	4.2	4.5
Bud Heffner	HEXACO	HEXACO_Honesty_Humility	3.833	3.5	4.2	0.7	3.8	3.5	4.2
Bud Heffner	HEXACO	HEXACO_Emotionality	2.333	2.2	2.5	0.3	2.2	2.5	2.3
Bud Heffner	HEXACO	HEXACO_Extraversion	2.767	2.5	3.0	0.5	2.5	3.0	2.8
Bud Heffner	HEXACO	HEXACO_Agreeableness	3.467	3.2	3.7	0.5	3.2	3.5	3.7
Bud Heffner	HEXACO	HEXACO_Conscientiousness	4.900	4.8	5.0	0.2	4.9	4.8	5.0
Bud Heffner	HEXACO	HEXACO_Openness	2.100	1.5	2.4	0.9	2.4	1.5	2.4
Bud Heffner	Beyond HEXACO	Sentimentality	3.167	3.0	3.5	0.5	3.0	3.5	3.0
Bud Heffner	Beyond HEXACO	Social_Anxiety	2.400	2.2	2.5	0.3	2.5	2.5	2.2
Bud Heffner	Beyond HEXACO	Trust_Benevolence	3.233	3.0	3.5	0.5	3.2	3.0	3.5
Bud Heffner	Beyond HEXACO	Affective_Responsiveness	2.733	2.4	3.0	0.6	2.4	3.0	2.8
Bud Heffner	Beyond HEXACO	SVO_Prosocial_Orientation	3.433	3.0	3.8	0.8	3.0	3.5	3.8
