character	object	all_dimensions_pearson_r_to_name_fact_target	all_dimensions_mean_absolute_error	hexaco_pearson_r_to_name_fact_target	hexaco_mean_absolute_error	beyond_hexaco_pearson_r_to_name_fact_target	beyond_hexaco_mean_absolute_error
Cillian Frost	opus_4_6_interwoven_bio	0.872	0.539	0.962	0.450	0.512	0.647
Cillian Frost	opus_4_6_psych_only	0.914	0.479	0.964	0.478	0.584	0.480
Cillian Frost	gemma_4_31b_psych_only	0.814	0.936	0.875	0.922	0.777	0.953
Cillian Frost	gemma_4_31b_interwoven_bio	0.907	0.494	0.939	0.550	0.889	0.427
Haruki Minamoto	gemma_4_31b_psych_only	0.916	0.555	0.904	0.539	0.969	0.573
Haruki Minamoto	opus_4_6_psych_only	0.941	0.403	0.907	0.483	0.983	0.306
Haruki Minamoto	gemma_4_31b_interwoven_bio	0.923	0.485	0.855	0.422	0.980	0.560
Haruki Minamoto	opus_4_6_interwoven_bio	0.872	0.376	0.872	0.433	0.980	0.307
Bud Heffner	gemma_4_31b_interwoven_bio	0.924	0.409	0.953	0.428	0.792	0.387
Bud Heffner	gemma_4_31b_psych_only	0.916	0.518	0.949	0.494	0.897	0.547
Bud Heffner	opus_4_6_interwoven_bio	0.954	0.367	0.960	0.422	0.942	0.300
Bud Heffner	opus_4_6_psych_only	0.882	0.473	0.941	0.511	0.580	0.427
