stage	generator_slug	generator	model_id	variant	variant_label	trait	behavior_metric	n	r	abs_r
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_HH_mean	total_words	50	-0.20241718536710906	0.20241718536710906
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_HH_mean	unique_word_rate	50	0.14881871859721404	0.14881871859721404
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_HH_mean	first_person_rate_per_1k	50	-0.2641694473219037	0.2641694473219037
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_HH_mean	we_rate_per_1k	50	0.40074115812234173	0.40074115812234173
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_HH_mean	social_word_rate_per_1k	50	0.13211209959670692	0.13211209959670692
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_HH_mean	exclamation_rate_per_1k	50	-0.09513637163159389	0.09513637163159389
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_HH_mean	question_rate_per_1k	50	-0.05478179569599807	0.05478179569599807
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_HH_mean	section_count	50		
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_HH_mean	section_words_mean	50	-0.20241718536710906	0.20241718536710906
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_HH_mean	section_words_sd	50	-0.13765103141457044	0.13765103141457044
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_HH_mean	section_words_cv	50	0.024316605035459796	0.024316605035459796
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_E_mean	total_words	50	-0.2573754927167064	0.2573754927167064
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_E_mean	unique_word_rate	50	0.050562610714678644	0.050562610714678644
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_E_mean	first_person_rate_per_1k	50	0.3698999623485779	0.3698999623485779
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_E_mean	we_rate_per_1k	50	0.1003861343357356	0.1003861343357356
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_E_mean	social_word_rate_per_1k	50	0.09438936253659301	0.09438936253659301
lsi	glm_5_1	GLM 5.1	z-ai/glm-5.1	interwoven	interwoven_biography	HEXACO_E_mean	exclamation_rate_per_1k	50	-0.12131405404723843	0.12131405404723843
