stage	character	object	generator	profile_format	scorer	all_dimensions_r_to_name_fact_target	all_dimensions_mae	hexaco_r_to_name_fact_target	hexaco_mae	beyond_hexaco_r_to_name_fact_target	beyond_hexaco_mae
profile	Cillian Frost	qwen_37_max_psych_only	Qwen 3.7 Max	psychometric-only	Gemini 3 Flash	0.888	0.767	0.931	0.611	0.776	0.953
profile	Cillian Frost	kimi_k26_interwoven_bio	Kimi K2.6	interwoven biography	Gemini 3 Flash	0.936	0.609	0.967	0.539	0.728	0.693
profile	Cillian Frost	qwen_37_max_interwoven_bio	Qwen 3.7 Max	interwoven biography	Gemini 3 Flash	0.883	0.812	0.929	0.744	0.813	0.893
profile	Cillian Frost	mimo_v25_pro_interwoven_bio	MiMo v2.5 Pro	interwoven biography	Gemini 3 Flash	0.878	0.639	0.927	0.544	0.962	0.753
profile	Cillian Frost	glm_5_1_interwoven_bio	GLM 5.1	interwoven biography	Gemini 3 Flash	0.833	0.682	0.882	0.605	0.739	0.773
profile	Cillian Frost	kimi_k26_psych_only	Kimi K2.6	psychometric-only	Gemini 3 Flash	0.877	0.739	0.939	0.594	0.747	0.913
profile	Cillian Frost	glm_5_1_psych_only	GLM 5.1	psychometric-only	Gemini 3 Flash	0.852	0.655	0.892	0.555	0.739	0.773
profile	Cillian Frost	mimo_v25_pro_psych_only	MiMo v2.5 Pro	psychometric-only	Gemini 3 Flash	0.861	0.576	0.889	0.494	0.714	0.673
profile	Cillian Frost	minimax_m27_interwoven_bio	MiniMax M2.7	interwoven biography	Gemini 3 Flash	0.901	0.627	0.939	0.472	0.924	0.813
profile	Cillian Frost	minimax_m27_psych_only	MiniMax M2.7	psychometric-only	Gemini 3 Flash	0.826	0.709	0.882	0.605	0.499	0.833
profile	Haruki Minamoto	mimo_v25_pro_interwoven_bio	MiMo v2.5 Pro	interwoven biography	Gemini 3 Flash	0.882	0.300	0.883	0.328	0.986	0.267
profile	Haruki Minamoto	mimo_v25_pro_psych_only	MiMo v2.5 Pro	psychometric-only	Gemini 3 Flash	0.904	0.336	0.932	0.378	0.976	0.287
profile	Haruki Minamoto	glm_5_1_psych_only	GLM 5.1	psychometric-only	Gemini 3 Flash	0.702	0.567	0.748	0.461	0.969	0.693
profile	Haruki Minamoto	kimi_k26_psych_only	Kimi K2.6	psychometric-only	Gemini 3 Flash	0.781	0.612	0.943	0.584	0.951	0.647
