stage	character	object	scorer	all_dimensions_r_to_name_fact_target	all_dimensions_mae	hexaco_r_to_name_fact_target	hexaco_mae	beyond_hexaco_r_to_name_fact_target	beyond_hexaco_mae
profile	Cillian Frost	gemma_4_31b_psych_only	sonnet_4_6	0.864	0.558	0.975	0.445	0.828	0.693
profile	Cillian Frost	gemma_4_31b_psych_only	gemini_3_flash	0.777	0.749	0.945	0.594	0.853	0.933
profile	Cillian Frost	gemma_4_31b_psych_only	grok_4_20	0.944	0.594	0.968	0.528	0.837	0.673
profile	Cillian Frost	gemma_4_31b_psych_only	minimax_m3	0.872	0.591	0.964	0.472	0.791	0.733
profile	Cillian Frost	gemma_4_31b_interwoven_bio	sonnet_4_6	0.847	0.588	0.960	0.400	0.840	0.813
profile	Cillian Frost	gemma_4_31b_interwoven_bio	gemini_3_flash	0.809	0.676	0.968	0.511	0.826	0.873
profile	Cillian Frost	gemma_4_31b_interwoven_bio	grok_4_20	0.812	0.633	0.923	0.467	0.794	0.833
profile	Cillian Frost	gemma_4_31b_interwoven_bio	minimax_m3	0.858	0.703	0.949	0.511	0.834	0.933
profile	Cillian Frost	opus_4_6_psych_only	sonnet_4_6	0.941	0.449	0.961	0.428	0.931	0.473
profile	Cillian Frost	opus_4_6_psych_only	gemini_3_flash	0.919	0.439	0.959	0.361	0.768	0.533
profile	Cillian Frost	opus_4_6_psych_only	grok_4_20	0.923	0.267	0.957	0.256	0.733	0.280
profile	Cillian Frost	opus_4_6_psych_only	minimax_m3	0.919	0.521	0.963	0.378	0.821	0.693
profile	Cillian Frost	opus_4_6_interwoven_bio	sonnet_4_6	0.937	0.345	0.966	0.422	0.588	0.253
profile	Cillian Frost	opus_4_6_interwoven_bio	gemini_3_flash	0.852	0.467	0.930	0.539	0.038	0.380
profile	Cillian Frost	opus_4_6_interwoven_bio	grok_4_20	0.907	0.382	0.957	0.389	0.307	0.373
profile	Cillian Frost	opus_4_6_interwoven_bio	minimax_m3	0.926	0.418	0.967	0.422	0.497	0.413
profile	Cillian Frost	minimax_m3_interwoven_bio	sonnet_4_6	0.909	0.812	0.933	0.878	0.925	0.733
profile	Cillian Frost	minimax_m3_interwoven_bio	gemini_3_flash	0.935	0.767	0.956	0.778	0.931	0.753
profile	Cillian Frost	minimax_m3_interwoven_bio	grok_4_20	0.893	0.703	0.927	0.694	0.887	0.713
profile	Cillian Frost	minimax_m3_interwoven_bio	minimax_m3	0.915	0.767	0.935	0.778	0.798	0.753
profile	Cillian Frost	minimax_m3_psych_only	sonnet_4_6	0.841	0.676	0.924	0.644	0.892	0.713
profile	Cillian Frost	minimax_m3_psych_only	gemini_3_flash	0.843	0.658	0.855	0.628	0.940	0.693
profile	Cillian Frost	minimax_m3_psych_only	grok_4_20	0.942	0.803	0.977	0.744	0.903	0.873
profile	Cillian Frost	minimax_m3_psych_only	minimax_m3	0.885	0.649	0.989	0.594	0.890	0.713
profile	Haruki Minamoto	opus_4_6_psych_only	sonnet_4_6	0.968	0.349	0.968	0.445	0.988	0.233
profile	Haruki Minamoto	opus_4_6_psych_only	gemini_3_flash	0.964	0.330	0.990	0.361	0.936	0.293
